"명칭","좌표주소","위도","경도","상세주소","상세내용"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로62길 3","37.4645478","126.90310840000006","독산로62길 3","관리번호: T136"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로145길 11","37.47321520000001","126.89578370000004","시흥대로145길 11","관리번호: T137"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 두산로9가길 19-4","37.4727921","126.89159219999999","두산로9가길 19-4","관리번호: T138"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산로54길 102-98","35.7083656","128.25492629999996","독산로54길 102-98 금천체육공원 관리사무소","관리번호: A101"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산로54길 6","37.4632087","126.90726970000003","독산로54길 6","관리번호: A102"
"공원방범 CCTV","대한민국 서울특별시 금천구 가산동 234-29","36.4269583","127.38857250000001","무아래 어린이공원","관리번호: A103"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥대로149가길 6","37.4755747","126.89554769999995","시흥대로149가길 6","관리번호: A104"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 1095-1","37.3550352","127.10640739999996","파랑새 어린이공원","관리번호: A105"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 1088-2","36.4269583","127.38857250000001","한내로 55 참새 어린이공원","관리번호: A106"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 1086 독산근린공원","37.463629","126.88420380000002","독산 근린공원","관리번호: A107"
"공원방범 CCTV","대한민국 서울특별시 관악구 신림동 무궁화어린이공원","37.4696846","126.92350540000007","무궁화 어린이공원","관리번호: A108"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 시흥대로90길 60-3 무지개상상어린이공원","37.462935","126.9009522","시흥대로90길 60-3 무지개 어린이공원","관리번호: A109"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥대로86길 20","37.4601219","126.9002941","시흥대로86길 20","관리번호: A110"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로36길 33","37.4442955","126.90558750000002","시흥대로36길 33","관리번호: G129"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로36길 62","37.4432354","126.9064234","시흥대로36길 62","관리번호: G130"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로28길 58","37.4423258","126.9070491","시흥대로28길 58","관리번호: G131"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로24길 56","37.4412429","126.90745700000002","시흥대로24길 56","관리번호: G132"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로36길 18-5","37.4436907","126.90527989999998","시흥대로36길 18-5","관리번호: G134"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로16길 20","37.4395852","126.90534200000002","시흥대로16길 20","관리번호: G135"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로32길 11","37.4427747","126.90521979999994","시흥대로32길 11","관리번호: G136"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로26길 14","37.4556845","126.90634049999994","독산로26길 14","관리번호: G137"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로32길 44","37.4580844","126.90765510000005","독산로32길 44","관리번호: G138"
"그린파킹 CCTV","대한민국 서울특별시 금천구 두산로9가길 19-3","37.4726346","126.8914125","두산로9가길 19-3","관리번호: G139"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로60길 40","37.4652099","126.90503179999996","독산로60길 40","관리번호: G140"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로62길 43","37.4656845","126.90491070000007","독산로62길 43 주택앞","관리번호: G141"
"자전거도서관 CCTV","대한민국 서울특별시 금천구 범안로 1144","35.8284724","128.6552358","범안로 1144 독산역 자전거보관소","관리번호: BC105"
"자전거도서관 CCTV","대한민국 서울특별시 금천구 범안로 1144","37.4661275","126.88904539999998","금천구 범안로 1144","관리번호: BC106"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로28길 15","37.4424324","126.90474340000003","시흥대로28길 15","관리번호: P274"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로36길 18-13","37.4436397","126.9057067","시흥대로36길 18-13","관리번호: P275"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로105길 8","37.4652168","126.89686329999995","시흥대로105길 8","관리번호: P276"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로 473","37.4758971","126.89804609999999","시흥대로 473","관리번호: P277"
"방범 CCTV","대한민국 서울특별시 금천구 벚꽃로38길 5","37.4818785","126.88329909999993","벚꽃로38길 5","관리번호: P278"
"방범 CCTV","대한민국 서울특별시 금천구 가산로 147-7","37.4780024","126.89039150000008","가산로 147-7","관리번호: P279"
